age,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
26.0,-0.5487282,0.10145503,-0.75729686,-0.4940611,1.5554777,0.3944311,0.097849675,0.21397084,1.0139666,-1.3950763,0.035536777,-0.21485211,0.543499,1.1346977,1.3819121,-0.47011602,0.0988854,-0.5398321,-0.23052646,-0.2406553,0.76284385,-1.3534133,0.21315248,1.327507,-0.39489532,0.11042586,1.2982978,0.40752843,-0.16112085,-0.50900656
22.0,-0.33134285,-0.024187816,-0.15396872,-1.48648,-0.41358903,-0.33344963,-1.0296501,-0.82060903,-0.5396238,-0.82059973,-1.0808953,1.1901218,-1.635266,-0.2595901,-0.029019462,0.3881723,0.63091785,0.027027722,-0.06725295,-0.90156895,-0.43570286,1.0144359,-1.0034468,-0.47811353,-1.0072592,1.5116371,-0.73894227,0.4263334,0.5328386,0.22706786
35.0,-0.6647257,0.09080802,-0.09159377,-0.8283311,-0.85582155,-0.107524246,-0.30017012,-0.7531908,-0.034096945,-0.13228583,0.72637135,-0.07948134,-0.29532814,-0.33036748,-0.3639903,-0.65462714,-0.17598581,-0.5236845,-0.44568044,0.40726778,0.29040214,0.48838118,-0.10993793,0.19293424,0.21237057,0.15908581,-0.74222416,0.50224614,0.13303223,0.5091043
25.0,-0.85789603,-0.39628768,-0.5612659,-0.7383599,0.09837699,0.5121436,0.35975298,-0.4834298,0.20445463,0.45818904,0.48883936,-0.9128787,-0.7140972,-1.3954697,0.33774856,-0.4773745,0.36531124,-0.5635441,0.16371055,-0.98957986,0.47462678,-0.71541774,0.47765428,-1.0603051,-0.49566486,-0.003965052,0.12814939,0.41482106,-0.4738345,0.40878177
5.0,2.025872,-3.1887538,1.477182,1.1278352,0.5812829,0.38742688,-1.3629161,2.433067,1.5500443,-2.6824307,4.7531967,-0.71000487,-0.9934007,1.1525842,-2.4627428,-3.7088273,0.38159186,2.8571637,0.66400754,0.45769805,-0.22353587,3.9478974,-0.18934804,0.1703336,4.1877065,0.5722531,2.6494434,-0.45466435,0.48064822,-2.5872827
45.0,0.4742827,0.857256,0.74375135,-1.3521641,-1.1173465,0.30459797,-1.8842626,-1.1874864,1.6774719,-0.77058244,-0.8101435,2.2035534,-1.6670538,1.2022324,-0.13875215,-1.388977,-0.26047418,-2.005825,-1.3107169,0.13132466,0.6978707,1.1009511,-1.8768669,0.7664573,-0.6282365,0.28929192,-0.6314663,-1.6372024,0.20437872,-0.7841052
15.0,-0.8468834,0.27397603,0.9257583,0.29220578,-0.6681774,-0.37486267,0.42203915,0.18228763,-0.7568218,-0.7217645,0.8975408,0.29055867,-0.8718432,-0.16158146,-0.4904119,0.15249236,-0.03062526,0.050302934,0.59378767,-0.36732543,0.68671864,0.019065298,0.5484639,0.31828332,0.61466944,1.2128581,-0.29953423,-0.7753152,-0.5548717,0.27753776
32.0,-0.04049488,-0.14502849,1.6073513,0.8423447,-0.463746,-0.67660654,0.28961298,-0.6076089,-1.4145497,-0.34967387,1.4214821,-0.0022142665,0.11468843,0.4865731,-0.6534291,0.19400975,0.2385594,1.1037142,-0.4281428,0.6021972,0.024218177,-0.08210544,1.4831148,0.24961397,-1.0482912,1.916108,-0.8829489,0.15080886,-0.6957123,1.6419008
2.0,0.14067374,-2.2521725,-0.2459188,1.2567375,-2.3702757,-0.34663773,0.486135,-0.2849346,0.06704781,-0.21766597,0.14130639,-1.3655664,-0.36675695,0.5953548,1.507453,0.6495596,-0.6347082,-0.68141276,0.44175565,1.3032745,0.64414865,-0.60978013,-1.3206303,-0.09339759,-0.73566306,0.51295555,-0.36866495,-1.0486768,-0.21811272,0.0054779453
15.0,1.4303751,-2.5817335,1.258038,0.28801373,2.136023,-4.643285,1.9477746,-0.34811327,3.003601,2.75439,0.37958494,-1.6517674,1.2124197,0.48808807,1.4537965,1.2156888,3.4230387,-1.1804922,-2.6320355,2.8027873,-3.5665007,0.66087407,-1.9944594,1.5707835,-0.09384044,2.7355857,0.19317618,0.6727763,-4.2789884,0.2325245
45.0,-0.8637452,0.3469002,0.14837551,0.116173,0.21627751,0.5655612,0.61012435,-0.092482165,0.5409706,0.4871135,-0.19378255,-0.5180039,0.048093777,-0.003689817,0.098205365,-0.19261327,-0.22102498,-0.04400013,0.1353212,0.495365,-0.23028958,0.04345192,-0.043356027,-0.4651877,0.6328584,-0.18426491,0.27476206,-0.12677373,0.10903787,-0.54329693
57.0,0.34066227,0.32384026,0.62011606,0.014767429,0.97187006,-1.4568886,-0.27913475,-1.070408,0.9961378,0.9047958,-0.646411,1.1978621,1.9682615,-0.2513035,-1.8191196,1.0570183,-0.17714205,0.13969865,0.6195078,-0.14685382,-0.13994259,0.28671336,-0.611763,2.3666584,1.0129147,-1.4672424,1.9495379,1.4417504,-1.0204296,1.1253667
18.0,-0.10499555,-0.8398109,-1.2817695,-2.051982,1.0868458,-0.43257552,-1.9257197,0.9212704,-0.6976194,-0.91438353,-0.9629015,-0.058977615,-0.11184553,0.41968384,0.8045231,-0.73324364,0.7163024,1.0580047,-1.1647999,0.3143125,0.9727725,-1.7266475,-1.4072863,0.9989232,-0.43803826,2.1072023,0.9674286,0.46534833,0.26518524,0.52615863
44.0,-0.8643874,0.5589417,0.94778246,0.4198407,-0.103713185,0.17815058,1.3260566,1.4597307,-0.13000351,-0.0029356054,-0.2606388,-0.66050005,-2.1445813,0.2566542,-1.3818989,0.5596461,-1.0032594,0.8194953,0.51834446,-0.24009614,-0.22495998,-0.99112105,-0.04537378,-0.08678265,0.14083269,1.9418823,-0.1627029,-0.8058413,-0.4902905,0.18778823
26.0,-0.8644717,-0.36856794,-0.53371274,-1.0591285,-0.19051333,-0.01013255,-0.51381683,-0.012982702,-0.28765482,-0.41256246,-0.32577392,0.10696193,-0.16371928,-0.6731651,-0.10318652,-1.223306,0.7109941,-0.92040473,0.0114505,-0.88037986,-0.031783983,-0.44242948,0.16557066,-0.17908904,0.2128283,0.3122886,0.5986412,0.5078575,-0.5600412,0.39590546
56.0,0.12531434,1.3274952,-0.92345715,-0.19444072,-0.71253866,-0.45040792,0.60338044,0.07994241,-0.710763,1.5966455,-0.700847,-0.6077699,0.34650728,-0.32708243,0.028669875,-0.6102615,1.2122213,1.6257607,-0.9298053,-0.97641426,-0.9290263,0.74870336,-0.56871796,1.6947834,-1.0714647,-0.9753937,-1.4123168,-0.40845862,2.0470648,-0.09251851
40.0,0.30529848,1.0494021,-0.0054156007,-0.19383278,-0.9203534,-0.25422534,-2.055936,-1.9255736,-0.52394897,-1.7994789,0.15334314,0.09859347,0.86834455,0.35623032,-1.2383804,-0.15461253,-1.3633192,-0.91956556,-0.7111832,0.60752517,0.12462345,0.36989197,-1.2064595,0.71542996,-0.43362945,0.8591838,-0.6045936,0.5810076,0.48284432,-1.2309858
72.0,1.4860783,-1.7461807,1.1597656,0.05389675,0.6374173,-1.5489647,-0.63401467,-1.7618804,-1.2207876,1.0134655,0.9438241,-3.8166037,1.779603,1.2929171,-1.206363,1.7762333,-0.105124995,-1.447821,-3.4131606,0.4781791,-4.219474,0.52589345,-0.71894604,3.4382741,1.5932044,-1.2256184,2.608744,-1.9865181,-1.8876052,0.72774535
32.0,-0.9186439,0.38688627,-0.9446596,-0.42234716,0.5989892,-0.67258614,-0.27417213,-0.29019296,0.8500733,0.5318017,0.21238036,-1.2794282,0.30835247,0.2907142,0.61356723,-0.6593059,0.40200216,-0.09695771,-0.02924292,0.01930641,0.49211916,-0.44183177,0.4710945,-0.29748946,1.1273385,-0.25103748,-0.4883081,-0.092672095,-0.5285388,0.6866195
25.0,-0.6656176,-0.14483781,1.0638342,0.11712025,-0.28804255,0.18443117,0.31740677,0.09605941,-0.71000564,-0.74586344,0.54048634,0.3031776,0.092136964,-0.6987499,0.22248664,0.21408452,0.40418476,0.37174854,-0.21624346,0.5495969,0.35311085,0.3656666,0.51631796,0.122983836,1.102097,0.35675249,0.8053766,-0.7147145,-0.46337557,0.0778467
16.0,-0.13793407,0.20047806,-0.48149025,-0.55697423,0.40857247,0.53883994,-0.39750987,0.53702694,0.9604932,-0.05201103,0.6924567,0.103594065,0.95250094,0.073804185,0.012759951,-1.0664793,-0.6141176,-0.80766803,-1.3344861,-0.9641374,0.010055719,0.45537734,0.9394715,-0.14667603,0.6553569,-1.5505672,-1.1462747,-0.06528028,-0.75646996,1.2054404
54.0,0.5784989,0.20243952,1.3100973,-0.34069654,-0.6063516,1.7280154,0.7384169,-1.4946336,-0.22279415,-0.4857065,-0.42711475,-1.0255897,0.52135,0.8660104,1.3595288,-0.6668812,-0.676469,-0.15620539,2.512593,0.006347478,-0.0849216,0.28896245,-0.56780374,0.49932858,-0.7600085,0.12599304,-0.18122979,0.6617734,0.0012865047,0.9093023
24.0,-0.56090796,-0.04388965,0.21180676,-0.5641775,0.6882951,0.30160946,-0.06886794,-0.20481946,0.5789609,0.45094123,-0.015173139,-0.57908463,1.126913,-0.6540233,-0.13514097,-0.4771012,0.033570882,-0.60735345,-0.7989429,-0.49304894,0.080922104,0.1428448,-0.035058297,0.21698612,0.5590221,0.835283,0.3879641,-0.42913467,-0.70942575,-0.016732356
68.0,-0.024255766,1.1138114,1.2169663,-0.40344247,-0.57975084,0.32952225,-1.0630903,0.6285566,0.38606057,0.15530561,-0.92699873,-0.08215029,-0.9795642,0.7528454,1.5473622,0.032365248,-0.56214905,0.39047113,0.18111719,0.0072280243,-0.14078982,-0.46635556,-0.6049608,0.8730655,-1.2292211,-0.6887502,-0.7211428,0.64589256,0.19503365,-0.35691658
50.0,-0.7942939,0.7047421,0.90914637,-0.044695407,-0.05013863,0.3103793,0.02842378,0.26915067,-0.28668216,-0.12322906,0.16940978,-0.040576942,-0.029694658,0.6165388,0.6092289,0.46093646,-0.6547796,-0.28782186,-0.13991083,0.76663953,-0.27020612,-0.09460749,-0.24324054,0.6292418,0.012756028,-0.3934984,-0.046040352,0.25263014,0.2595393,0.34926906
53.0,-0.7257976,0.5545707,0.9230124,0.09169662,-0.4462276,0.4532,0.6648888,0.3665137,0.56189895,0.308627,-0.54433227,-0.1707448,-0.3503603,0.21097064,-0.5515688,0.6189437,-0.4436672,0.43119156,-0.16311494,-0.2158814,-0.02628453,-0.20682274,-0.48264983,-0.054372873,0.39770854,0.64664763,0.2980725,-0.30995855,0.22728615,-0.44543082
20.0,-0.93415105,0.25805444,-0.60888016,-0.6300846,-0.13662279,-0.48478678,-1.0595611,-0.69098645,-0.1536567,-0.67107075,0.15142612,-0.18809031,0.44903454,0.596918,-0.14505987,0.3813159,0.21553712,-1.1146619,0.60277784,-0.31738943,0.19093175,0.44183752,0.12893513,0.80771387,-0.3105744,0.78582585,0.19589213,-1.2039522,0.40400434,1.1156447
3.0,4.587308,-3.263926,1.6387397,-0.19117346,-0.29385233,-3.4207733,2.0307927,-1.8949227,2.8921688,0.3630498,1.3993772,-1.3972763,0.50959486,0.30307636,-2.3457856,1.1483277,4.1708717,-2.2875173,-6.184336,1.389265,0.5764784,1.83514,-2.0512624,-0.8290736,2.5093684,4.938749,2.456352,5.1638284,0.6345558,1.5816208
58.0,-0.23532654,0.72550404,0.71702385,0.8559205,-0.17969228,-0.0029577676,-0.24919169,0.971388,-1.3925289,0.5076706,0.55244464,-0.12647165,-0.5361161,0.55808467,0.38929254,0.02906518,-0.26496217,-0.6197304,-0.8680569,0.12910236,0.7717794,-0.29119134,0.29427093,0.40623993,-0.4960208,0.39465737,0.5316729,-0.5190168,0.0767164,0.565426
35.0,-0.97888416,0.08789694,0.90300125,0.011831121,-0.0017761092,-0.11891482,1.0123963,1.2475842,-0.3959861,-0.211138,-0.26903147,-0.36213192,-1.6676673,-0.034017846,-0.8821223,0.052621014,-0.92121774,0.9746629,0.6739164,0.67119,0.45053145,-1.4316226,0.35450143,0.4087024,0.9159208,1.4893398,-0.32990697,-0.39254463,-0.68187773,0.6802003
25.0,1.9850644,-1.0916945,1.2232721,-1.9773426,2.4258761,0.35026225,1.1888094,-2.5060296,-4.0269938,-0.7942106,-0.9519304,-4.9420757,0.8069884,-3.5975895,-2.6264439,1.9146714,-4.088099,-1.1637123,-0.9747319,-0.54247934,-3.2363963,1.4484363,-5.6072764,4.562851,0.9608871,-0.62299013,-1.8531177,-5.6265726,-1.6673731,-1.4283159
42.0,-0.20942917,0.6332104,1.1049616,0.28873026,-0.32236087,0.7471095,0.042359598,0.6568417,-0.2810805,0.4291608,-0.3348784,-0.027099082,0.44471788,0.015058709,0.5933354,-0.5534792,-0.99052167,0.21765943,-0.08520694,0.22514658,-0.47184327,-0.40311053,0.055997603,0.6228913,-0.24051501,-0.5730391,0.07017849,-0.2189115,-1.0361816,0.6508261
3.0,-0.14888886,-2.2263036,-0.4583407,2.2902184,-0.6618574,-1.3643078,-0.43881497,0.017367076,0.3251972,-0.9376058,-1.0332347,-1.338295,-0.11273842,-0.2522043,1.0695907,0.45121434,-1.0689689,0.82630485,-0.5367087,1.9692096,0.9942466,0.29183742,-0.613965,-0.40250498,0.20980242,0.030865416,-0.878001,-1.1942652,-0.32860583,0.77950025
42.0,-0.75222576,0.8220938,0.5377957,0.7129549,0.31515768,-0.124068834,1.1263125,0.40980113,-0.08607121,0.5036461,-0.5450272,0.10077571,-0.21471038,0.24895564,-0.04962896,0.46128568,-0.23833328,0.42047402,0.22204211,0.06486446,-0.07800632,0.37363425,-0.42594898,0.13521188,0.08484262,0.2925955,0.09973419,-0.024586588,1.0390339,-0.8601921
26.0,-0.85252535,-0.48994252,-0.30428806,-1.2942051,0.25456616,0.45034274,-1.2342995,-0.88387257,-0.25732517,0.38215715,-0.27072677,-0.0759801,-0.14800581,0.17231838,0.31579828,-0.06393661,0.5034537,0.16184089,-0.045394946,0.19401553,0.11632389,-0.08861258,-0.30415747,0.05413494,-0.55059624,0.86542827,-0.6187051,-0.058558483,0.35320082,0.81653833
18.0,-0.3333701,-0.3393915,-0.46775988,-0.6278118,1.9095656,0.977804,-1.0392646,0.68324035,0.07163676,-0.3138367,-0.19736293,0.32304686,0.14836316,-0.7878998,-0.2908184,1.9966928,-0.060354847,-0.26094863,0.46968478,0.13683623,0.42765513,-0.35779762,0.091155045,0.56477094,0.21051487,-0.18827969,-0.87055045,0.24608974,-1.5843493,-0.58370024
22.0,-0.7375352,-0.4526285,-0.9898831,-1.3802385,1.2841623,-0.030786768,-0.8318572,-0.11981262,-0.74905413,-0.5217886,0.057125602,0.47183663,-0.8418812,-0.49126482,0.5343421,-0.377447,0.17504701,0.13546911,-0.58651394,-0.080689035,0.4966584,-0.14130709,-0.7198993,-0.34440103,0.16844139,0.603196,-0.45190293,0.62525225,-0.05371792,0.11404744
80.0,-0.5253512,0.55089927,0.81989205,0.62194693,-0.5630283,0.05448926,0.9746704,1.0185069,-0.994828,0.25825354,0.8443884,0.10505703,-0.7694567,0.62882537,-0.6381754,-0.6559382,-0.40394562,0.1456747,-0.39236715,-0.36615863,-0.26181608,-1.1270355,1.1795961,-0.48424214,-0.42133126,0.90569913,0.3564423,-0.0117434105,-1.3019406,-0.07139558
26.0,1.032179,0.22947462,1.0947245,-1.658878,-0.123650976,-2.0462244,-0.4644466,-0.5831257,-0.68310374,0.75547785,-0.7126784,0.7418661,-0.336507,1.4052434,-0.6339949,0.39212286,-2.390112,-0.6172547,-0.17315826,0.34540656,-1.5496235,0.8573844,4.4895287,-1.3233322,1.8367513,-1.2991717,1.5023625,1.2643604,-1.8485173,-1.7029586
29.0,0.26136664,0.2927923,2.11685,-0.14378992,-0.19015259,1.1145,-1.5920383,1.855206,0.87437534,-0.21292546,0.58568525,-0.9984344,1.1923093,-1.298466,-0.6983943,-2.1264122,0.2548659,-0.19610567,0.861209,1.1670815,-1.5967212,0.7221215,-0.39555082,-0.5794595,-0.6682752,0.912476,-1.9178437,-0.25567243,1.8748237,0.45086563
1.0,0.05124717,-1.9106685,-0.27185512,0.84622574,-1.2827091,-0.18510054,0.12070605,1.6779062,-0.5134054,0.037369546,0.73880666,-0.6171309,0.24430312,-0.4382327,-0.6103002,-0.19825208,-1.7391913,-0.56269956,-0.30037856,-0.8729149,1.9571012,-0.07815522,-1.0536143,-0.10294227,0.7043898,0.42386442,-1.2321212,-1.0600553,-0.9966517,-0.88798815
32.0,0.14522998,1.2841877,-0.92697287,-0.04486119,0.58412564,0.79969054,0.5379069,0.28533387,1.1850415,-0.6387802,0.31165332,0.9208352,-0.24717095,0.07811942,0.1718757,0.6602761,-0.47908044,-1.0526196,-1.0403705,0.19024019,1.3928496,-0.57955325,-0.77241224,-0.5509582,0.430114,-1.0125431,-0.73143953,-0.22903973,0.9753842,0.18280207
28.0,1.3361729,-0.5071422,1.7226586,-0.72284913,-1.1891217,2.9536102,0.31688714,-1.7584517,-0.43773404,0.38357666,-0.61478233,-1.3065221,3.2429705,1.9344269,-1.0225282,-0.3385046,-0.38740095,1.8550891,2.067251,1.0429438,2.3005607,0.41412362,-1.1755571,-0.91947365,0.11666166,-0.3236756,-1.5013096,0.13329743,0.7678266,-0.6694528
27.0,-0.8685806,0.08918145,-0.36364493,-0.94519717,-0.0043264385,0.31454325,-1.3335457,-0.2805997,-0.039456457,-0.38467512,0.09285532,-0.08120607,-0.124576375,-0.027393313,-0.90915626,0.66268426,-0.07619098,-0.8746381,0.73052996,-0.099523515,0.67779905,0.09048626,-0.7069049,0.12420878,-0.8174362,0.49819607,0.3547267,-1.0332959,0.046313077,0.64567924
38.0,-1.0230467,0.25131303,-0.4240746,0.13474376,0.04773865,0.021576902,-0.034030337,-0.3480553,0.61774325,-0.23713824,-0.27183446,-0.49386215,0.5324461,0.542264,-0.07349301,-0.059077784,0.27734238,-0.026744124,-0.06572693,-0.39517245,-0.3576543,-0.13335295,0.48722163,-0.88657427,0.80930954,-0.3118265,0.041640334,-0.5417663,0.1942358,0.26436716
36.0,-0.5258679,0.31482396,0.8511499,0.022264218,-0.75684756,0.77636856,-0.21342525,-0.70924056,-0.6686071,-0.25971022,-0.39575315,-0.009074734,0.4744257,0.16058458,0.18356307,0.13949075,0.30996606,0.07937285,0.52191085,0.24823706,-0.42430916,0.27580076,0.5510591,0.10143287,0.03665417,-1.0080959,-0.23089896,0.46602857,0.10773692,0.22844778
26.0,0.71674144,0.029342756,1.3473852,0.47048965,-2.172765,-0.078571066,-1.4789884,-1.7659395,-0.47957686,-0.90444446,1.7161553,-0.45314282,1.6822127,0.98663986,-1.7143431,0.99324155,1.2086996,-0.41569594,-1.4945003,-0.3826718,-0.11618812,-0.2736271,1.6136208,0.48681378,-0.6242392,1.4792808,0.1523176,0.3687251,0.46052164,1.6211995
36.0,0.076727755,-0.89005053,0.68687606,-0.7633974,0.3958413,1.8030679,0.5373685,0.25431347,-1.9366187,-1.2570304,0.049125187,-1.4959931,0.10587505,-2.3305655,-0.27640522,1.7927321,-0.07997713,0.032250453,-1.0926902,0.2116297,-0.23766188,0.5710539,1.4983388,0.92604256,0.262505,0.11077756,1.3849721,0.85912955,-1.6126617,-1.1205125
58.0,2.286675,1.6322825,1.2252463,-0.19083847,-0.055872705,1.5978062,1.7753079,0.7539545,2.6874824,-0.37430468,-1.3512449,-1.5901994,-1.8025838,-6.8584213,3.1117709,0.80818146,-0.69177425,-2.174995,0.1399805,-4.097381,0.019071544,2.1242893,0.5572073,-0.45522606,-1.4688983,0.8548077,2.395006,-0.8816952,0.56577456,1.4459071
34.0,-0.95181894,-0.3654557,-0.2390606,-1.0293958,-0.16635641,-0.15906025,-0.2865174,-0.3706156,0.44918615,0.28133714,-0.7938369,-0.18824305,-0.22136773,-0.5948739,-0.22480515,-0.15060006,0.7005752,-0.021848673,-0.17870753,-1.1920568,0.0015056323,-0.054821983,-0.20479205,-0.28275925,0.50538284,0.095814675,0.30033806,1.0146132,0.032047343,0.9763127
35.0,-0.32288426,-0.19515556,0.5199766,-1.7616847,-0.8504035,0.9419438,-1.1527678,-0.9875909,-0.7278464,-0.54351085,-0.28546226,1.4094092,0.3202505,0.7433958,-0.41269186,-0.20760532,0.03591523,0.14267321,-0.31455863,0.7670464,-0.22661468,-0.023023024,-0.47287652,-0.453719,-0.4408398,0.75643414,-0.060495082,-0.09753356,-0.11150248,0.45560974
